,Stkcd,Accper,Typrep,流动资产合计,非流动资产合计,资产总计,流动负债合计,非流动负债合计,负债合计,所有者权益合计,a_ticker,unique_id
0,11,2000-01-01,A,1928455285.24,468906739.29,2397362024.53,2068805732.96,101754527.3,2170560260.26,226801764.27,11,id_50
1,11,2000-06-30,A,2000794340.12,454835013.74,2455629353.86,2140031796.16,99601197.88,2239632994.04,215996359.82,11,id_50
2,11,2000-12-31,A,2127584549.92,539704118.33,2667288668.25,2267807909.7,99527806.33,2367335716.03,299952952.22,11,id_50
3,11,2001-01-01,A,2203895914.56,515935920.21,2719831834.77,2386456763.79,99527806.33,2485984570.12,233847264.65,11,id_50
4,11,2001-06-30,A,2251013328.59,551385165.66,2802398494.25,2389468339.82,101324193.04,2490792532.86,311605961.39,11,id_50
5,11,2001-12-31,A,1981288376.03,467345327.26,2448633703.29,2029582426.21,109608412.21,2139190838.42,309442864.87,11,id_50
6,11,2002-01-01,A,1981288376.03,458795703.94,2440084079.97,2029762017.06,109608412.21,2139370429.27,300713650.7,11,id_50
7,11,2002-03-31,A,1987860000.0,468650000.0,2456510000.0,2036400000.0,110470000.0,2146870000.0,333320000.0,11,id_50
8,11,2002-06-30,A,1882201017.95,489148555.96,2371349573.91,1945416434.09,108790271.6,2054206705.69,317142868.22,11,id_50
9,11,2002-09-30,A,2131306971.79,513959942.85,2645266914.64,2216042325.32,109392298.11,2325434623.43,319832291.21,11,id_50
10,11,2002-12-31,A,2116839502.44,491139882.92,2607979385.36,1916218905.31,353856777.8,2270075683.11,337903702.25,11,id_50
11,11,2003-01-01,A,2116839502.44,491139882.92,2607979385.36,1916218905.31,353856777.8,2270075683.11,337903702.25,11,id_50
12,11,2003-03-31,A,2233218826.67,501206873.96,2734425700.63,2047497907.64,348952426.33,2396450333.97,337975366.66,11,id_50
13,11,2003-06-30,A,2239762453.99,496564614.47,2736327068.46,2038408043.89,352286655.57,2390694699.46,345632369.0,11,id_50
14,11,2003-09-30,A,2303391575.24,496221859.75,2799613434.99,2117305989.26,331714821.33,2449020810.59,350592624.4,11,id_50
