,Stkcd,Accper,Typrep,营业总收入,营业总成本,营业利润,利润总额,净利润,基本每股收益,稀释每股收益,综合收益总额,a_ticker,unique_id
0,11,2000-01-01,A,549238262.97,517323002.28,43729778.82,49671022.13,44574348.14,,,,11,id_50
1,11,2000-06-30,A,254240798.65,250308782.59,8284933.45,13411991.57,11159060.54,,,,11,id_50
2,11,2000-12-31,A,658120332.85,665366328.11,59060695.59,61161407.94,52628509.16,,,,11,id_50
3,11,2001-01-01,A,526791452.85,582357321.12,10740822.58,12841534.93,4308636.15,,,,11,id_50
4,11,2001-06-30,A,243564015.55,224657795.02,19803612.63,18094784.88,11653009.17,,,,11,id_50
5,11,2001-12-31,A,1021639372.64,912444781.61,101984536.01,105768566.85,88397267.51,,,,11,id_50
6,11,2002-01-01,A,1021639372.64,912332166.74,102097150.87,105881181.71,88217676.65,,,,11,id_50
7,11,2002-03-31,A,88200000.0,,88490000.0,88490000.0,80000.0,,,,11,id_50
8,11,2002-06-30,A,239924781.12,237056665.02,10923231.03,10740884.08,7491364.59,,,,11,id_50
9,11,2002-09-30,A,24022192.36,42805530.25,1702371.17,1616933.97,1616933.97,,,,11,id_50
10,11,2002-12-31,A,781284955.43,749305786.36,28435837.33,44508865.86,34622176.84,,,,11,id_50
11,11,2003-01-01,A,781284955.43,749305786.36,28435837.33,44508865.86,34622176.84,,,,11,id_50
12,11,2003-03-31,A,65663277.09,65345489.45,447475.94,637070.07,71664.41,,,,11,id_50
13,11,2003-06-30,A,249851393.54,240070859.46,10048026.88,10430037.1,7728666.75,,,,11,id_50
14,11,2003-09-30,A,366461579.63,350027354.03,17252071.73,19701555.38,12688922.15,,,,11,id_50
15,11,2003-12-31,A,1079474318.91,898718545.31,166973606.29,121676376.73,77001831.44,,,,11,id_50
16,11,2004-01-01,A,1079474318.91,898718545.31,166973606.29,121676376.73,77001831.44,,,,11,id_50
17,11,2004-03-31,A,76575021.12,76172174.68,959131.33,1272631.35,118076.2,,,,11,id_50
18,11,2004-06-30,A,259275868.71,245787950.2,14481407.31,14818911.18,8463406.95,,,,11,id_50
19,11,2004-09-30,A,505639076.16,459385439.26,48206099.75,48023788.0,26459137.14,,,,11,id_50
20,11,2004-12-31,A,1326289977.75,1194614785.05,133090386.69,126160243.54,90449977.35,,,,11,id_50
21,11,2005-01-01,A,1326289977.75,1194614785.05,133090386.69,126160243.54,90449977.35,,,,11,id_50
22,11,2005-03-31,A,105176856.95,110021079.63,-209460.01,129413.96,129413.96,,,,11,id_50
23,11,2005-06-30,A,344628662.44,321255834.69,26745847.23,18077773.47,15091441.59,,,,11,id_50
24,11,2005-09-30,A,539857784.4,502353865.04,41196525.87,33239531.88,30103200.0,,,,11,id_50
25,11,2005-12-31,A,963481024.09,868619406.57,109896045.2,98970133.62,82902699.63,,,,11,id_50
26,11,2006-01-01,A,963481024.09,868619406.57,109757426.82,98831515.24,78419748.81,,,,11,id_50
27,11,2006-03-31,A,80518391.97,88067462.12,-7593527.39,-8083249.76,-8907781.68,,,,11,id_50
28,11,2006-06-30,A,177142145.36,193565812.95,-16719855.65,-20890686.29,-23391427.55,,,,11,id_50
29,11,2006-09-30,A,228288394.15,258913755.88,-30841780.15,-35011538.92,-37634861.65,,,,11,id_50
30,11,2006-12-31,A,311948669.86,345098796.62,-20125931.41,-45165869.75,-46054221.12,,,,11,id_50
31,11,2007-01-01,A,323027334.95,358716396.28,-20097431.34,-45137369.68,-45094210.88,-0.08,-0.08,,11,id_50
32,11,2007-03-31,A,63516477.63,77494909.2,-6518944.23,-5683489.36,-5965494.81,-0.01,-0.01,,11,id_50
