Indexcd,Trddt,Clsindex,Retindex
000002,20140102,2207.560,-0.003128
000020,20140102,851.917,0.004725
399005,20140102,5059.369,0.015967
399106,20140102,1068.103,0.009869
000002,20140103,2180.100,-0.012439
000020,20140103,842.177,-0.011433
399005,20140103,5068.632,0.001831
399106,20140103,1065.687,-0.002262
000002,20140106,2141.025,-0.017923
000020,20140106,820.203,-0.026092
399005,20140106,4950.747,-0.023258
399106,20140106,1038.336,-0.025665
000002,20140107,2142.664,0.000766
000020,20140107,825.740,0.006751
399005,20140107,4988.500,0.007626
399106,20140107,1044.666,0.006096
000002,20140108,2139.510,-0.001472
000020,20140108,826.684,0.001143
399005,20140108,5019.879,0.006290
399106,20140108,1053.770,0.008715
000002,20140109,2121.909,-0.008227
000020,20140109,817.813,-0.010731
399005,20140109,4944.613,-0.014994
399106,20140109,1038.624,-0.014373
000002,20140110,2106.947,-0.007051
000020,20140110,803.946,-0.016956
399005,20140110,4860.310,-0.017049
399106,20140110,1021.593,-0.016398
000002,20140113,2103.066,-0.001842
000020,20140113,797.532,-0.007978
399005,20140113,4828.985,-0.006445
399106,20140113,1019.469,-0.002079
000002,20140114,2121.133,0.008591
000020,20140114,809.953,0.015574
399005,20140114,4901.990,0.015118
399106,20140114,1039.625,0.019771
000002,20140115,2117.431,-0.001745
000020,20140115,813.946,0.004930
399005,20140115,4962.507,0.012345
399106,20140115,1047.305,0.007387
000002,20140116,2117.794,0.000171
000020,20140116,815.919,0.002424
399005,20140116,4931.816,-0.006185
399106,20140116,1046.169,-0.001085
000002,20140117,2098.121,-0.009289
000020,20140117,804.946,-0.013449
399005,20140117,4866.125,-0.013320
399106,20140117,1036.033,-0.009689
000002,20140120,2083.740,-0.006854
000020,20140120,801.433,-0.004364
399005,20140120,4816.953,-0.010105
399106,20140120,1026.938,-0.008779
000002,20140121,2101.613,0.008577
000020,20140121,812.483,0.013788
399005,20140121,4873.892,0.011821
399106,20140121,1042.587,0.015239
000002,20140122,2147.136,0.021661
000020,20140122,831.743,0.023705
399005,20140122,4985.267,0.022851
399106,20140122,1067.054,0.023468
000002,20140123,2137.065,-0.004690
000020,20140123,835.473,0.004485
399005,20140123,5020.456,0.007059
399106,20140123,1075.475,0.007892
000002,20140124,2149.877,0.005995
000020,20140124,848.271,0.015318
399005,20140124,5103.421,0.016525
399106,20140124,1089.529,0.013068
000002,20140127,2127.755,-0.010290
000020,20140127,845.841,-0.002865
399005,20140127,5082.949,-0.004011
399106,20140127,1083.210,-0.005800
000002,20140128,2133.335,0.002622
000020,20140128,843.477,-0.002795
399005,20140128,5046.239,-0.007222
399106,20140128,1079.843,-0.003108
000002,20140129,2145.242,0.005581
000020,20140129,852.000,0.010105
399005,20140129,5086.288,0.007936
399106,20140129,1089.004,0.008484
000002,20140130,2127.617,-0.008216
000020,20140130,849.882,-0.002486
399005,20140130,5030.201,-0.011027
399106,20140130,1081.269,-0.007103
000002,20140207,2139.597,0.005631
000020,20140207,863.325,0.015817
399005,20140207,5111.619,0.016186
399106,20140207,1098.685,0.016107
000002,20140210,2183.225,0.020391
000020,20140210,884.284,0.024277
399005,20140210,5292.074,0.035303
399106,20140210,1128.060,0.026737
000002,20140211,2201.778,0.008498
000020,20140211,886.917,0.002978
399005,20140211,5268.298,-0.004493
399106,20140211,1127.221,-0.000744
000002,20140212,2208.388,0.003002
000020,20140212,895.636,0.009831
399005,20140212,5327.761,0.011287
399106,20140212,1139.041,0.010486
000002,20140213,2196.354,-0.005449
000020,20140213,882.573,-0.014585
399005,20140213,5254.308,-0.013787
399106,20140213,1119.933,-0.016776
000002,20140214,2214.801,0.008399
000020,20140214,897.765,0.017213
399005,20140214,5330.344,0.014471
399106,20140214,1138.389,0.016480
000002,20140217,2235.392,0.009297
000020,20140217,915.308,0.019541
399005,20140217,5412.611,0.015434
399106,20140217,1160.386,0.019323
000002,20140218,2218.260,-0.007664
000020,20140218,914.436,-0.000953
399005,20140218,5386.633,-0.004800
399106,20140218,1155.623,-0.004105
000002,20140219,2242.944,0.011128
000020,20140219,916.582,0.002347
399005,20140219,5413.601,0.005006
399106,20140219,1157.198,0.001363
000002,20140220,2238.965,-0.001774
000020,20140220,903.786,-0.013961
399005,20140220,5300.111,-0.020964
399106,20140220,1139.269,-0.015493
000002,20140221,2212.635,-0.011760
000020,20140221,900.803,-0.003301
399005,20140221,5280.108,-0.003774
399106,20140221,1135.011,-0.003737
000002,20140224,2173.928,-0.017494
000020,20140224,899.343,-0.001621
399005,20140224,5265.810,-0.002708
399106,20140224,1134.192,-0.000722
000002,20140225,2129.566,-0.020406
000020,20140225,869.390,-0.033305
399005,20140225,5046.866,-0.041578
399106,20140225,1089.216,-0.039655
000002,20140226,2137.003,0.003492
000020,20140226,874.681,0.006086
399005,20140226,5059.190,0.002442
399106,20140226,1094.734,0.005066
000002,20140227,2143.462,0.003022
000020,20140227,864.647,-0.011472
399005,20140227,4941.468,-0.023269
399106,20140227,1075.480,-0.017588
000002,20140228,2152.801,0.004357
000020,20140228,874.236,0.011090
399005,20140228,5029.196,0.017753
399106,20140228,1090.865,0.014305
000002,20140303,2172.565,0.009181
000020,20140303,893.389,0.021908
399005,20140303,5098.202,0.013721
399106,20140303,1109.412,0.017002
000002,20140304,2168.581,-0.001834
000020,20140304,892.551,-0.000938
399005,20140304,5049.987,-0.009457
399106,20140304,1106.348,-0.002762
000002,20140305,2149.182,-0.008945
000020,20140305,888.568,-0.004462
399005,20140305,5044.415,-0.001103
399106,20140305,1103.673,-0.002418
000002,20140306,2156.023,0.003183
000020,20140306,886.356,-0.002489
399005,20140306,5021.316,-0.004579
399106,20140306,1105.691,0.001828
000002,20140307,2154.350,-0.000776
000020,20140307,884.331,-0.002285
399005,20140307,4995.105,-0.005220
399106,20140307,1102.282,-0.003083
000002,20140310,2092.751,-0.028593
000020,20140310,852.156,-0.036383
399005,20140310,4818.260,-0.035404
399106,20140310,1064.060,-0.034675
000002,20140311,2094.912,0.001033
000020,20140311,855.354,0.003753
399005,20140311,4813.807,-0.000924
399106,20140311,1064.295,0.000221
000002,20140312,2091.308,-0.001720
000020,20140312,852.517,-0.003317
399005,20140312,4792.523,-0.004421
399106,20140312,1062.785,-0.001419
000002,20140313,2113.714,0.010714
000020,20140313,861.241,0.010233
399005,20140313,4863.887,0.014891
399106,20140313,1078.348,0.014644
000002,20140314,2098.233,-0.007324
000020,20140314,858.735,-0.002910
399005,20140314,4834.753,-0.005990
399106,20140314,1074.192,-0.003854
000002,20140317,2118.512,0.009665
000020,20140317,873.969,0.017740
399005,20140317,4919.845,0.017600
399106,20140317,1096.355,0.020632
000002,20140318,2120.067,0.000734
000020,20140318,877.126,0.003612
399005,20140318,4932.344,0.002541
399106,20140318,1099.902,0.003235
000002,20140319,2116.464,-0.001699
000020,20140319,878.734,0.001833
399005,20140319,4859.599,-0.014749
399106,20140319,1094.444,-0.004962
000002,20140320,2086.916,-0.013961
000020,20140320,856.623,-0.025162
399005,20140320,4708.723,-0.031047
399106,20140320,1065.426,-0.026514
000002,20140321,2143.936,0.027323
000020,20140321,873.726,0.019966
399005,20140321,4801.261,0.019652
399106,20140321,1084.496,0.017899
000002,20140324,2163.400,0.009079
000020,20140324,881.830,0.009275
399005,20140324,4786.353,-0.003105
399106,20140324,1085.480,0.000907
000002,20140325,2164.416,0.000470
000020,20140325,884.128,0.002606
399005,20140325,4779.607,-0.001409
399106,20140325,1083.311,-0.001998
000002,20140326,2160.612,-0.001758
000020,20140326,883.969,-0.000180
399005,20140326,4810.629,0.006490
399106,20140326,1088.855,0.005118
000002,20140327,2142.681,-0.008299
000020,20140327,872.715,-0.012731
399005,20140327,4713.444,-0.020202
399106,20140327,1067.323,-0.019775
000002,20140328,2137.547,-0.002396
000020,20140328,857.264,-0.017705
399005,20140328,4610.323,-0.021878
399106,20140328,1044.141,-0.021720
000002,20140331,2128.785,-0.004099
000020,20140331,850.009,-0.008463
399005,20140331,4595.016,-0.003320
399106,20140331,1039.879,-0.004082
000002,20140401,2143.580,0.006950
000020,20140401,862.824,0.015076
399005,20140401,4678.190,0.018101
399106,20140401,1057.008,0.016472
000002,20140402,2155.702,0.005655
000020,20140402,862.143,-0.000789
399005,20140402,4684.207,0.001286
399106,20140402,1055.120,-0.001786
000002,20140403,2139.690,-0.007428
000020,20140403,862.294,0.000175
399005,20140403,4701.689,0.003732
399106,20140403,1055.581,0.000437
000002,20140404,2155.532,0.007404
000020,20140404,871.298,0.010442
399005,20140404,4761.042,0.012624
399106,20140404,1068.068,0.011830
000002,20140408,2196.981,0.019229
000020,20140408,880.116,0.010121
399005,20140408,4809.482,0.010174
399106,20140408,1078.201,0.009487
000002,20140409,2204.212,0.003291
000020,20140409,888.418,0.009433
399005,20140409,4844.382,0.007256
399106,20140409,1087.885,0.008982
000002,20140410,2234.693,0.013829
000020,20140410,893.808,0.006067
399005,20140410,4861.790,0.003593
399106,20140410,1092.696,0.004422
000002,20140411,2230.743,-0.001768
000020,20140411,893.038,-0.000861
399005,20140411,4830.511,-0.006434
399106,20140411,1088.102,-0.004204
000002,20140414,2231.808,0.000477
000020,20140414,898.227,0.005811
399005,20140414,4854.643,0.004996
399106,20140414,1094.413,0.005800
000002,20140415,2200.358,-0.014092
000020,20140415,892.460,-0.006420
399005,20140415,4804.718,-0.010284
399106,20140415,1085.959,-0.007725
000002,20140416,2204.087,0.001695
000020,20140416,894.417,0.002193
399005,20140416,4799.907,-0.001001
399106,20140416,1085.058,-0.000830
000002,20140417,2197.500,-0.002989
000020,20140417,892.471,-0.002176
399005,20140417,4817.315,0.003627
399106,20140417,1086.232,0.001082
000002,20140418,2196.327,-0.000534
000020,20140418,896.861,0.004919
399005,20140418,4824.031,0.001394
399106,20140418,1089.358,0.002878
000002,20140421,2162.897,-0.015221
000020,20140421,881.974,-0.016599
399005,20140421,4752.892,-0.014747
399106,20140421,1074.779,-0.013383
000002,20140422,2170.210,0.003381
000020,20140422,879.183,-0.003164
399005,20140422,4726.444,-0.005565
399106,20140422,1066.497,-0.007706
000002,20140423,2164.506,-0.002628
000020,20140423,875.019,-0.004736
399005,20140423,4728.158,0.000363
399106,20140423,1064.929,-0.001470
000002,20140424,2153.632,-0.005024
000020,20140424,864.861,-0.011609
399005,20140424,4669.262,-0.012456
399106,20140424,1057.307,-0.007157
000002,20140425,2132.114,-0.009991
000020,20140425,848.695,-0.018692
399005,20140425,4584.175,-0.018223
399106,20140425,1036.716,-0.019475
000002,20140428,2097.561,-0.016206
000020,20140428,820.484,-0.033240
399005,20140428,4478.168,-0.023125
399106,20140428,1007.271,-0.028402
000002,20140429,2115.178,0.008399
000020,20140429,831.740,0.013719
399005,20140429,4528.599,0.011262
399106,20140429,1019.838,0.012476
000002,20140430,2121.413,0.002948
000020,20140430,839.727,0.009603
399005,20140430,4552.266,0.005226
399106,20140430,1027.575,0.007586
000002,20140505,2122.481,0.000503
000020,20140505,847.889,0.009720
399005,20140505,4598.168,0.010083
399106,20140505,1037.033,0.009204
000002,20140506,2123.192,0.000335
000020,20140506,850.152,0.002669
399005,20140506,4645.010,0.010187
399106,20140506,1044.200,0.006911
000002,20140507,2104.388,-0.008856
000020,20140507,836.547,-0.016003
399005,20140507,4558.120,-0.018706
399106,20140507,1027.989,-0.015525
000002,20140508,2109.821,0.002582
000020,20140508,837.727,0.001411
399005,20140508,4541.251,-0.003701
399106,20140508,1026.196,-0.001744
000002,20140509,2105.505,-0.002046
000020,20140509,830.096,-0.009109
399005,20140509,4496.458,-0.009864
399106,20140509,1017.687,-0.008292
000002,20140512,2149.248,0.020776
000020,20140512,850.070,0.024062
399005,20140512,4610.824,0.025435
399106,20140512,1040.536,0.022452
000002,20140513,2147.077,-0.001010
000020,20140513,848.296,-0.002087
399005,20140513,4600.149,-0.002315
399106,20140513,1039.385,-0.001106
000002,20140514,2144.092,-0.001390
000020,20140514,846.757,-0.001814
399005,20140514,4603.157,0.000654
399106,20140514,1040.807,0.001368
000002,20140515,2120.000,-0.011236
000020,20140515,831.540,-0.017971
399005,20140515,4503.607,-0.021626
399106,20140515,1022.514,-0.017576
000002,20140516,2121.556,0.000734
000020,20140516,831.945,0.000487
399005,20140516,4499.775,-0.000851
399106,20140516,1019.364,-0.003081
000002,20140519,2099.240,-0.010519
000020,20140519,828.330,-0.004345
399005,20140519,4465.449,-0.007628
399106,20140519,1014.188,-0.005078
000002,20140520,2102.330,0.001472
