Indexcd,Trddt,Clsindex,Retindex
000002,20010102,2224.590,0.014692
000002,20010103,2246.690,0.009934
000002,20010104,2239.300,-0.003289
000002,20010105,2247.900,0.003840
000002,20010108,2223.800,-0.010721
000002,20010109,2223.000,-0.000360
000002,20010110,2248.250,0.011359
000002,20010111,2241.580,-0.002967
000002,20010112,2226.240,-0.006843
000002,20010115,2149.570,-0.034439
000002,20010116,2164.620,0.007001
000002,20010117,2152.620,-0.005544
000002,20010118,2161.400,0.004079
000002,20010119,2185.200,0.011011
000002,20010205,2124.350,-0.027846
000002,20010206,2110.720,-0.006416
000002,20010207,2094.410,-0.007727
000002,20010208,2042.170,-0.024943
000002,20010209,2070.820,0.014029
000002,20010212,2075.570,0.002294
000002,20010213,2077.960,0.001151
000002,20010214,2077.320,-0.000308
000002,20010215,2059.500,-0.008578
000002,20010216,2054.430,-0.002462
000002,20010219,2080.960,0.012914
000002,20010220,2065.620,-0.007372
000002,20010221,2018.650,-0.022739
000002,20010222,2016.430,-0.001100
000002,20010223,2047.560,0.015438
000002,20010226,2067.200,0.009592
000002,20010227,2075.060,0.003802
000002,20010228,2069.560,-0.002651
000002,20010301,2073.240,0.001778
000002,20010302,2091.700,0.008904
000002,20010305,2087.500,-0.002008
000002,20010306,2091.950,0.002132
000002,20010307,2095.640,0.001764
000002,20010308,2105.960,0.004925
000002,20010309,2114.910,0.004250
000002,20010312,2114.090,-0.000388
000002,20010313,2099.870,-0.006726
000002,20010314,2120.180,0.009672
000002,20010315,2125.030,0.002288
000002,20010316,2122.840,-0.001031
000002,20010319,2138.860,0.007546
000002,20010320,2148.450,0.004484
000002,20010321,2169.550,0.009821
000002,20010322,2189.540,0.009214
000002,20010323,2156.610,-0.015040
000002,20010326,2192.070,0.016442
000002,20010327,2209.230,0.007828
000002,20010328,2208.450,-0.000353
000002,20010329,2203.280,-0.002341
000002,20010330,2214.690,0.005179
000002,20010402,2226.900,0.005513
000002,20010403,2224.510,-0.001073
000002,20010404,2190.970,-0.015077
000002,20010405,2213.820,0.010429
000002,20010406,2209.030,-0.002164
000002,20010409,2217.580,0.003870
000002,20010410,2228.860,0.005087
000002,20010411,2231.060,0.000987
000002,20010412,2234.240,0.001425
000002,20010413,2245.140,0.004879
000002,20010416,2267.910,0.010142
000002,20010417,2275.910,0.003527
000002,20010418,2270.320,-0.002456
000002,20010419,2270.340,0.000009
000002,20010420,2248.510,-0.009615
000002,20010423,2247.220,-0.000574
000002,20010424,2262.010,0.006581
000002,20010425,2213.280,-0.021543
000002,20010426,2199.300,-0.006316
000002,20010427,2211.520,0.005556
000002,20010430,2214.490,0.001343
000002,20010508,2231.690,0.007767
000002,20010509,2226.310,-0.002411
000002,20010510,2240.550,0.006396
000002,20010511,2248.540,0.003566
000002,20010514,2272.230,0.010536
000002,20010515,2285.290,0.005748
000002,20010516,2293.330,0.003518
000002,20010517,2287.830,-0.002398
000002,20010518,2296.710,0.003881
000002,20010521,2305.680,0.003906
000002,20010522,2300.790,-0.002121
000002,20010523,2287.550,-0.005755
000002,20010524,2287.030,-0.000227
000002,20010525,2280.920,-0.002672
000002,20010528,2264.390,-0.007247
000002,20010529,2268.580,0.001850
000002,20010530,2298.150,0.013035
000002,20010531,2299.710,0.000679
000002,20010601,2307.600,0.003431
000002,20010604,2318.330,0.004650
000002,20010605,2327.170,0.003813
000002,20010606,2328.320,0.000494
000002,20010607,2319.260,-0.003891
000002,20010608,2313.630,-0.002427
000002,20010611,2309.720,-0.001690
000002,20010612,2319.790,0.004360
000002,20010613,2337.920,0.007815
000002,20010614,2297.380,-0.017340
000002,20010615,2306.000,0.003752
000002,20010618,2261.040,-0.019497
000002,20010619,2264.950,0.001729
000002,20010620,2256.520,-0.003722
000002,20010621,2282.980,0.011726
000002,20010622,2299.880,0.007403
000002,20010625,2321.810,0.009535
000002,20010626,2325.380,0.001538
000002,20010627,2320.550,-0.002077
000002,20010628,2311.400,-0.003943
000002,20010629,2309.990,-0.000610
000002,20010702,2298.210,-0.005100
000002,20010703,2303.450,0.002280
