,b_ticker,a_ticker
0,200706,
1,200725,725
2,200726,726
3,200761,761
4,200770,
5,200771,
6,900932,600663
7,900934,600754
8,900935,900935
9,900936,600295
10,900937,600726
11,900938,600751
12,900939,900939
13,900940,600094
14,900941,600776
15,900943,600272
16,201872,1872
17,900945,600221
18,900946,600698
19,900947,600320
20,900948,900948
21,900949,
22,200869,869
23,900950,900950
24,900957,
25,200413,413
26,200418,418
27,200429,429
28,200468,
29,200986,
30,200992,
31,900901,600602
32,900902,600604
33,900903,600611
34,200488,488
35,900904,600613
36,900905,600612
37,900906,600610
38,900907,600614
39,900908,600618
40,900909,600623
41,900910,600619
42,900911,600639
43,900912,600648
44,900913,600617
45,900914,600650
46,900915,600818
47,900916,600679
48,900917,600851
49,900918,600819
50,900919,600695
51,200505,505
52,900920,600841
53,900921,600844
54,900922,600689
55,900923,600827
56,900924,600843
57,900925,600835
58,200512,
59,200513,513
60,200002,2
61,200003,3
62,900926,600845
63,900927,600822
64,900928,600848
65,900929,900929
66,900930,600680
67,200521,521
68,900931,600625
69,200011,11
70,200012,12
71,200013,13
72,900933,600801
73,200015,15
74,200016,16
75,200017,17
76,200018,18
77,200019,19
78,200020,20
79,200530,530
80,200022,22
81,900942,600054
82,200024,24
83,200025,25
84,200026,26
85,200539,539
86,200028,28
87,200029,29
88,200030,30
89,200541,541
90,420091,900951
91,900952,600190
92,900953,
93,900955,600555
94,900956,
95,200037,37
96,200550,550
97,200039,39
98,200041,
99,200553,553
100,200045,45
101,200053,
102,200054,
103,200055,55
104,200056,56
105,200057,
106,200570,570
107,200058,58
108,200581,581
109,200596,596
110,200613,613
111,200625,625
112,200152,
113,200160,
114,200168,
