a_ticker,b_ticker
600054,900942
600094,900940
600190,900952
600221,900945
600272,900943
600295,900936
600320,900947
600555,900955
600602,900901
600604,900902
600610,900906
600611,900903
600612,900905
600613,900904
600617,900913
600618,900908
600619,900910
600623,900909
600639,900911
600648,900912
600650,900914
600663,900932
600679,900916
600689,900922
600695,900919
600698,900946
600726,900937
600751,900938
600754,900934
600776,900941
600801,900933
600818,900915
600819,900918
600822,900927
600827,900923
600835,900925
600841,900920
600843,900924
600844,900921
600845,900926
600848,900928
600851,900917
900929,900929
900935,900935
900939,900939
900948,900948
900950,900950
900953,900953
900956,900956
900957,900957
